X,M
645,19030
646,19050
647,19071
648,19092
649,19112
650,19133
651,19153
652,19174
653,19194
654,19214
655,19234
656,19255
657,19275
658,19295
659,19315
660,19335
661,19355
662,19375
663,19395
664,19415
665,19435
666,19454
667,19474
668,19494
669,19513
670,19533
671,19553
672,19572
673,19592
674,19611
675,19630
676,19650
677,19669
678,19688
679,19707
680,19726
681,19745
682,19764
683,19783
684,19802
685,19821
686,19840
687,19859
688,19878
689,19896
690,19915
691,19934
692,19952
693,19971
694,19989
695,20008
696,20026
697,20044
698,20063
699,20081
700,20099
701,20117
702,20135
703,20153
704,20171
705,20189
706,20207
707,20225
708,20243
709,20260
710,20278
711,20296
712,20313
713,20331
714,20349
715,20366
716,20383
717,20401
718,20418
719,20435
720,20452
721,20470
722,20487
723,20504
724,20521
725,20538
726,20555
727,20572
728,20588
729,20605
730,20622
731,20639
732,20655
733,20672
734,20688
735,20705
736,20721
737,20737
738,20754
739,20770
740,20786
741,20802
742,20819
743,20835
744,20851
745,20867
746,20882
747,20898
748,20914
749,20930
750,20946
751,20961
752,20977
753,20992
754,21008
755,21023
756,21039
757,21054
758,21069
759,21085
760,21100
761,21115
762,21130
763,21145
764,21160
765,21175
766,21190
767,21205
768,21219
769,21234
770,21249
771,21263
772,21278
773,21292
774,21307
775,21321
776,21336
777,21350
778,21364
779,21378
780,21392
781,21406
782,21421
783,21434
784,21448
785,21462
786,21476
787,21490
788,21504
789,21517
790,21531
791,21544
792,21558
793,21571
794,21585
795,21598
796,21611
797,21624
798,21638
799,21651
800,21664
801,21677
802,21690
803,21703
804,21715
805,21728
806,21741
807,21754
808,21766
809,21779
810,21791
811,21804
812,21816
813,21829
814,21841
815,21853
816,21865
817,21877
818,21889
819,21901
820,21913
821,21925
822,21937
823,21949
824,21961
825,21972
826,21984
827,21996
828,22007
829,22018
830,22030
831,22041
832,22053
833,22064
834,22075
835,22086
836,22097
837,22108
838,22119
839,22130
840,22141
841,22152
842,22162
843,22173
844,22184
845,22194
846,22205
847,22215
848,22225
849,22236
850,22246
851,22256
852,22266
853,22276
854,22286
855,22296
856,22306
857,22316
858,22326
859,22336
860,22345
861,22355
862,22365
863,22374
864,22384
865,22393
866,22402
867,22412
868,22421
869,22430
870,22439
871,22448
872,22457
873,22466
874,22475
875,22484
876,22492
877,22501
878,22510
879,22518
880,22527
881,22535
882,22544
883,22552
884,22560
885,22569
886,22577
887,22585
888,22593
889,22601
890,22609
891,22617
892,22625
893,22632
894,22640
895,22648
896,22655
897,22663
898,22670
899,22678
900,22685
901,22692
902,22699
903,22706
904,22714
905,22721
906,22728
907,22734
908,22741
909,22748
910,22755
911,22762
912,22768
913,22775
914,22781
915,22788
916,22794
917,22800
918,22806
919,22813
920,22819
921,22825
922,22831
923,22837
924,22843
925,22849
926,22854
927,22860
928,22866
929,22871
930,22877
931,22882
932,22888
933,22893
934,22898
935,22903
936,22908
937,22914
938,22919
939,22924
940,22928
941,22933
942,22938
